#"CEDAD1 - A:Sig=200,4  Ref=360,100 V-15N-5-r001.d"
#Point,X(Minutes),Y(Response Units)
486,3.244,-0.08392333984375
487,3.250,-0.0863075256347656
488,3.257,-0.087738037109375
489,3.264,-0.0891685485839844
490,3.270,-0.0910758972167969
491,3.277,-0.0925064086914063
492,3.284,-0.0925064086914063
493,3.290,-0.0920295715332031
494,3.297,-0.0925064086914063
495,3.304,-0.0920295715332031
496,3.310,-0.0901222229003906
497,3.317,-0.0858306884765625
498,3.324,-0.0796318054199219
499,3.330,-0.0705718994140625
500,3.337,-0.0586509704589844
501,3.344,-0.0438690185546875
502,3.350,-0.0286102294921875
503,3.357,-0.0162124633789063
504,3.364,-0.00858306884765625
505,3.370,-0.00619888305664063
506,3.377,-0.0104904174804688
507,3.384,-0.0205039978027344
508,3.390,-0.0348091125488281
509,3.397,-0.0505447387695313
510,3.404,-0.064849853515625
511,3.410,-0.0772476196289063
512,3.417,-0.0863075256347656
513,3.424,-0.0925064086914063
514,3.430,-0.0963211059570313
515,3.437,-0.0977516174316406
516,3.444,-0.0977516174316406
517,3.450,-0.0972747802734375
518,3.457,-0.0967979431152344
519,3.464,-0.0963211059570313
520,3.470,-0.0963211059570313
521,3.477,-0.0963211059570313
522,3.484,-0.0958442687988281
523,3.490,-0.0958442687988281
524,3.497,-0.0967979431152344
525,3.504,-0.0977516174316406
526,3.510,-0.0977516174316406
527,3.517,-0.0977516174316406
528,3.524,-0.0977516174316406
529,3.530,-0.0977516174316406
530,3.537,-0.0977516174316406
531,3.544,-0.0982284545898438
532,3.550,-0.0982284545898438
533,3.557,-0.0982284545898438
534,3.564,-0.0982284545898438
535,3.570,-0.09918212890625
536,3.577,-0.0996589660644531
537,3.584,-0.100612640380859
538,3.590,-0.102043151855469
539,3.597,-0.103950500488281
540,3.604,-0.105857849121094
541,3.610,-0.106334686279297
542,3.617,-0.106334686279297
543,3.624,-0.106334686279297
544,3.630,-0.105857849121094
545,3.637,-0.105381011962891
546,3.644,-0.105381011962891
547,3.650,-0.105857849121094
548,3.657,-0.107288360595703
549,3.664,-0.109195709228516
550,3.670,-0.109672546386719
551,3.677,-0.108718872070313
552,3.684,-0.1068115234375
553,3.690,-0.104427337646484
554,3.697,-0.102043151855469
555,3.704,-0.100135803222656
556,3.710,-0.09918212890625
557,3.717,-0.100135803222656
558,3.724,-0.101566314697266
559,3.730,-0.103950500488281
560,3.737,-0.106334686279297
561,3.744,-0.108242034912109
562,3.750,-0.109672546386719
563,3.757,-0.110626220703125
564,3.764,-0.111579895019531
565,3.770,-0.111103057861328
566,3.777,-0.110149383544922
567,3.784,-0.108242034912109
568,3.790,-0.1068115234375
569,3.797,-0.105857849121094
570,3.804,-0.105857849121094
571,3.810,-0.106334686279297
572,3.817,-0.1068115234375
573,3.824,-0.1068115234375
574,3.830,-0.1068115234375
575,3.837,-0.1068115234375
576,3.844,-0.1068115234375
577,3.850,-0.106334686279297
578,3.857,-0.1068115234375
579,3.864,-0.107765197753906
580,3.870,-0.109195709228516
581,3.877,-0.109672546386719
582,3.884,-0.109195709228516
583,3.890,-0.109195709228516
584,3.897,-0.108242034912109
585,3.904,-0.107765197753906
586,3.910,-0.107288360595703
587,3.917,-0.107288360595703
588,3.924,-0.107288360595703
589,3.930,-0.107765197753906
590,3.937,-0.107765197753906
591,3.944,-0.1068115234375
592,3.950,-0.104904174804688
593,3.957,-0.102996826171875
594,3.964,-0.101089477539063
595,3.970,-0.0996589660644531
596,3.977,-0.0982284545898438
597,3.984,-0.0972747802734375
598,3.990,-0.0948905944824219
599,3.997,-0.0896453857421875
